tail,head,optflow,unitcost,fixedcost
2,101,0,9.027,7.3103
2,105,0,2.5737,1.0562
2,107,0,3.7049,8.9678
2,121,0,4.7901,6.5195
2,133,0,10.0464,3.1504
2,144,0,1.7179,4.4168
2,169,0,8.2605,7.6239
2,175,0,5.49,1.6575
2,189,0,8.9396,8.3809
2,193,0,9.3551,4.9264
3,1,0,3.105,8.4835
3,7,0,7.7305,9.4579
3,17,0,7.2515,9.5095
3,27,0,7.6748,2.9636
3,42,0,2.9269,5.4011
3,52,0,3.208,2.7893
3,55,0,2.3121,9.5282
3,62,0,3.9941,4.7187
3,64,0,5.352,2.5834
3,67,0,2.7256,2.5809
3,73,0,4.6944,9.4379
3,80,0,7.4535,2.6448
3,94,0,5.5026,10.1826
3,97,0,8.0925,9.2097
3,108,0,5.0298,8.4403
3,119,10,9.1283,1.2462
3,127,0,1.6287,7.459
3,134,0,2.0971,4.0027
3,152,0,2.0573,8.1965
3,157,0,8.3549,2.0095
3,159,0,9.4469,7.4753
3,170,0,4.4152,9.1122
3,182,0,6.9798,4.4319
3,185,0,3.3866,4.3896
3,186,0,6.6159,9.611
3,188,0,7.5493,7.8752
4,0,0,10.8289,5.0463
4,23,0,2.538,8.3641
4,26,0,9.7234,7.6954
4,34,0,2.8833,7.6503
4,49,0,10.4976,8.2436
4,51,0,8.2159,6.8768
4,59,0,1.1947,4.001
4,60,0,4.2423,1.7865
4,65,0,9.2851,10.696
4,72,0,9.1602,7.8604
4,73,0,10.1685,2.425
4,79,0,8.0206,3.7215
4,95,0,8.6309,6.7588
4,99,0,7.7864,7.0857
4,110,13,1.4146,9.1488
4,118,0,8.2721,10.2692
4,127,0,9.9647,7.2774
4,147,0,9.222,9.7069
4,148,16,2.9066,1.8906
4,151,0,6.074,8.1856
4,154,0,9.5467,6.2192
4,159,0,8.8376,10.6325
4,162,0,3.3858,8.9639
4,163,0,9.5282,7.387
4,178,0,10.1528,5.1679
4,186,0,9.5484,10.0609
4,196,0,5.0756,8.1517
5,7,5,9.2648,2.3154
5,27,12,5.9497,4.9072
5,34,26,2.3959,3.3817
5,56,27,2.6129,9.677
5,59,0,7.0909,9.4988
5,65,0,7.9473,1.7754
5,73,18,8.232,1.3306
5,80,7,8.6472,8.5386
5,85,27,2.4461,5.8387
5,110,0,7.3312,3.8143
5,120,5,6.6049,4.9533
5,127,0,10.3488,8.1654
5,145,0,2.0982,7.2388
5,157,22,8.0761,6.1487
5,159,3,5.8624,5.621
5,173,0,9.0741,3.3934
5,176,0,9.3065,5.0979
5,177,0,9.326,2.8399
5,186,0,6.2057,3.3061
6,13,0,2.4108,5.1097
6,15,24,9.7398,6.6553
6,25,0,5.1134,1.9882
6,36,0,4.4424,2.9028
6,76,0,6.22,1.0323
6,83,0,9.0014,6.0531
6,84,0,9.8591,4.6381
6,103,0,4.5619,7.717
6,114,0,9.1164,7.6254
6,124,0,10.2686,3.0995
6,128,0,5.4688,7.9045
6,131,0,8.9036,6.9681
6,132,0,2.6396,5.0837
6,161,0,5.8128,6.5839
6,173,0,9.5807,3.8032
6,174,0,3.0014,5.2914
7,1,0,1.8862,4.9531
7,3,0,6.9802,8.2378
7,5,0,2.2577,3.6428
7,17,0,5.4726,1.6872
7,27,0,9.6659,5.8439
7,42,0,7.4479,10.5023
7,52,0,7.732,2.4057
7,55,0,7.1406,1.2949
7,62,0,4.0837,1.7881
7,67,0,6.9933,4.3637
7,73,0,5.9586,5.2161
7,80,0,2.0803,4.1641
7,94,0,7.5575,3.7281
7,116,0,7.5078,7.0236
7,119,29,2.9513,7.6656
7,127,0,1.1997,8.8807
7,134,0,10.388,4.5748
7,152,0,6.9024,6.9666
7,157,0,6.7715,2.5728
7,159,0,2.8086,3.3977
7,170,0,1.729,2.9187
7,176,0,7.007,1.8066
7,177,0,7.6655,7.151
7,182,0,4.9475,5.8653
7,185,0,8.4756,10.3571
7,186,0,3.4541,9.5505
7,188,0,7.0548,6.6454
8,2,0,10.3969,6.0517
8,22,0,7.8078,7.8134
8,38,0,4.7742,1.2179
8,47,0,1.2626,2.2241
8,63,0,6.416,3.1622
8,64,0,8.5184,3.199
8,71,14,1.9037,6.9711
8,74,0,10.4801,7.9374
8,92,0,3.4404,7.2494
8,108,0,5.0713,8.9872
8,125,0,10.1761,5.9043
8,139,0,8.8609,8.8052
8,144,0,4.9535,9.3275
8,153,0,10.6022,6.7507
8,160,0,10.0714,4.2155
8,169,0,7.8102,5.6067
8,175,0,3.2383,2.0408
8,185,0,3.529,7.1348
8,189,0,8.0245,4.2997
9,21,0,4.2994,9.8024
9,28,0,3.5668,10.1742
9,33,0,4.5049,5.8012
9,40,0,7.5069,4.9292
9,46,14,1.2313,2.8459
9,48,0,7.6965,8.3854
9,49,0,3.2588,6.4915
9,60,0,2.166,5.64
9,61,5,2.2475,5.0781
9,66,0,3.5464,7.8146
9,70,0,10.5039,7.1384
9,72,0,10.1371,4.0681
9,88,0,7.6486,7.8415
9,90,0,6.0499,9.8216
9,95,0,9.3928,7.8785
9,99,0,7.8244,10.9705
9,141,0,5.2359,10.1841
9,150,0,5.7221,8.4242
9,158,0,9.4965,4.4049
9,162,0,5.1937,3.5389
9,165,0,8.9247,9.6474
9,194,0,3.6181,4.8994
9,195,0,6.8601,10.7305
10,12,0,3.8166,7.7057
10,14,0,8.806,9.8061
10,29,14,2.5185,10.9967
10,30,0,3.1475,8.1694
10,35,0,4.4257,6.2469
10,44,0,8.9695,4.0013
10,68,0,5.4637,1.1277
10,69,0,10.5299,3.8864
10,100,0,2.0186,7.6006
10,101,0,4.7431,1.7891
10,102,0,3.1365,1.6179
10,104,0,5.3445,4.9256
10,123,0,8.6809,1.3441
10,126,0,5.6099,1.9779
10,149,0,8.6622,2.971
10,167,0,2.0511,9.297
10,191,0,8.8528,6.8642
10,197,0,7.6293,4.1247
11,15,4,1.3735,6.4191
11,56,0,9.2893,9.4011
11,89,0,9.9156,7.3363
11,120,0,7.631,7.9361
11,168,0,2.5884,8.4529
11,176,0,4.698,7.6846
11,177,0,4.7421,3.6844
11,179,0,1.6834,1.6291
12,10,11,1.46,7.8925
12,30,0,7.6684,4.4826
12,35,0,7.4029,6.8184
12,75,0,8.0041,10.3599
12,100,0,6.0854,8.4243
12,102,0,6.1176,1.3108
12,126,0,7.0576,7.1038
12,149,0,10.3006,8.6067
12,167,0,6.5798,7.6634
12,172,0,1.4667,5.5973
12,180,0,6.6449,4.9748
12,187,0,9.9541,4.6844
12,197,0,10.4146,9.2652
12,198,0,9.2358,1.5245
13,6,0,4.9114,1.0981
13,19,0,5.0274,6.9531
13,25,0,9.3123,10.0459
13,31,0,3.9975,10.6666
13,36,0,6.6711,5.5945
13,40,0,1.0779,4.0489
13,46,0,1.5359,4.6125
13,48,0,2.7812,5.1783
13,76,0,6.2802,10.6375
13,77,0,8.6751,7.6761
13,83,0,1.9634,4.2053
13,84,0,10.7476,6.3379
13,85,0,6.737,10.4101
13,114,0,9.9225,3.2714
13,128,0,5.9597,10.6115
13,131,0,3.6627,2.19
13,132,0,9.883,3.231
13,145,0,10.9094,2.721
13,161,0,4.5365,1.9957
13,164,0,6.063,7.5636
13,174,0,1.8804,8.2201
13,184,0,8.6407,1.1926
14,2,0,4.5993,1.6802
14,10,0,5.6517,3.8163
14,22,0,4.9031,7.2751
14,29,0,10.3962,10.6208
14,35,0,7.3165,8.1466
14,39,0,4.8886,6.4932
14,44,0,5.0827,1.9402
14,45,0,5.2348,10.5475
14,68,0,8.7876,7.2673
14,69,0,9.4339,10.0386
14,96,0,4.5072,9.3239
14,100,0,3.3772,1.0808
14,101,0,5.5918,10.9546
14,104,0,6.2571,5.5512
14,105,0,9.9213,2.4637
14,107,0,6.5018,4.4836
14,111,0,9.9088,7.1972
14,121,0,10.9184,7.0386
14,123,0,2.4363,7.1893
14,133,0,7.017,8.5669
14,149,0,9.8814,4.3869
14,171,0,10.3194,3.2384
14,189,0,2.2777,5.0098
14,191,0,2.3589,1.1829
14,193,0,2.6135,4.2365
14,197,0,2.5529,8.6276
15,6,0,9.3115,10.2932
15,11,0,6.8616,10.8731
15,36,0,6.3361,8.4983
15,56,0,7.7415,10.994
15,89,0,5.7991,8.3213
15,103,0,5.2117,4.5427
15,124,0,1.6652,8.5191
15,174,0,1.1989,7.5771
16,18,0,1.4341,9.4673
16,19,0,6.3086,5.4523
16,25,0,4.2883,8.5467
16,37,0,7.6275,1.3706
16,77,0,10.5327,3.3581
16,128,0,1.2849,1.3559
16,130,0,1.2182,10.285
16,155,0,5.5325,8.9217
16,164,0,4.0767,7.0624
16,184,0,2.9952,1.9106
17,1,0,9.8104,8.4602
17,3,0,5.0332,8.1886
17,7,0,6.9181,7.5944
17,27,0,6.2874,10.244
17,42,0,8.6926,2.3317
17,52,0,5.878,2.1948
17,64,0,2.3438,2.9605
17,67,0,6.8515,4.2662
17,80,0,2.082,2.635
17,81,0,7.3805,7.4586
17,94,0,2.3161,6.2942
17,97,0,3.2548,7.2534
17,109,0,9.5438,4.166
17,115,0,9.992,9.9042
17,116,0,5.6456,4.538
17,119,0,7.9385,5.0412
17,152,0,4.1118,10.4621
17,157,0,7.6512,2.4909
17,170,0,2.4623,3.0087
17,182,0,6.3247,5.3415
17,185,0,1.1077,7.4548
17,188,0,2.4303,8.7012
18,16,8,9.0739,9.9071
18,19,0,10.0889,2.8658
18,25,0,4.8701,5.5873
18,37,0,5.289,8.258
18,77,0,1.2963,9.4881
18,128,0,10.277,8.0757
18,130,0,3.9408,9.8842
18,155,0,2.8181,7.8972
18,164,0,10.0198,9.6099
18,184,0,7.8881,9.3922
19,13,0,4.6002,6.8206
19,16,0,10.9078,1.6282
19,18,0,10.0877,6.4887
19,25,10,2.2657,9.5961
19,37,0,4.4327,4.3977
19,77,9,1.0967,2.4429
19,83,0,3.1982,5.1054
19,84,0,1.8663,1.7412
19,128,0,4.3274,9.8575
19,130,0,9.4974,6.3959
19,131,0,2.882,1.9821
19,155,0,1.6573,6.0549
19,164,0,6.6236,7.1235
19,184,0,4.0062,5.507
20,32,0,5.2995,5.166
20,82,0,10.7428,2.9029
20,107,0,6.7798,2.8137
20,111,0,10.0636,7.6467
20,121,0,6.345,6.1737
20,133,0,10.8823,10.5379
20,135,0,7.4768,10.7914
20,193,0,10.2308,10.6071
21,9,0,2.1029,9.2676
21,28,0,7.3835,1.2952
21,33,0,8.0333,1.7242
21,46,0,6.3238,2.3442
21,48,16,1.9095,9.2794
21,53,0,7.2218,2.9591
21,57,0,1.0844,8.2031
21,60,0,8.6811,10.124
21,61,0,2.5904,8.5533
21,66,0,5.4228,8.9221
21,70,0,8.3878,10.6432
21,88,0,8.6681,4.283
21,90,0,4.5096,4.2585
21,141,0,4.3148,5.6622
21,142,0,7.7823,5.2112
21,150,0,2.3593,10.0018
21,165,0,1.6963,8.5005
21,192,10,3.0892,5.536
21,194,0,3.5632,8.119
21,195,0,4.7555,5.8053
22,2,0,8.7451,1.903
22,8,0,3.255,5.2996
22,14,0,3.3697,9.8956
22,32,0,7.8495,10.7499
22,38,0,4.4043,3.7043
22,39,0,8.8533,3.5728
22,41,0,4.2994,2.2659
22,45,0,3.3744,6.7486
22,47,0,3.2949,10.5927
22,63,0,9.1548,4.7119
22,68,0,4.487,4.7991
22,74,12,1.524,6.1803
22,82,0,7.8273,7.0483
22,86,0,8.3356,9.7004
22,92,0,5.9085,2.6
22,96,0,2.1507,6.8995
22,101,0,5.4095,10.7132
22,105,0,2.1264,6.9748
22,107,0,4.9447,10.0005
22,121,0,9.9443,7.35
22,133,0,8.7322,3.5919
22,144,0,10.5167,8.0392
22,169,0,4.6897,1.0926
22,175,0,5.4222,4.2078
22,189,0,10.6604,9.9662
22,193,0,8.0707,6.0304
23,0,0,4.0955,5.4842
23,4,0,10.7215,1.1773
23,26,0,6.9278,4.4659
23,34,0,1.2423,9.4256
23,41,0,6.1486,7.222
23,49,0,2.4563,1.7927
23,51,0,3.1757,6.4628
23,55,0,7.4303,4.2426
23,59,0,8.2472,1.3945
23,60,0,2.5452,4.6794
23,65,0,8.9177,3.5071
23,72,0,1.6545,10.6596
23,73,23,5.8592,4.9883
23,79,0,6.4277,1.2847
23,95,0,7.2337,6.1573
23,99,0,7.7753,6.2034
23,110,0,10.7447,8.1421
23,118,0,4.1567,10.8128
23,127,0,9.8639,3.6414
23,134,7,2.6778,1.7153
23,147,4,2.038,2.2294
23,148,0,9.4482,8.8131
23,151,0,3.3803,2.4619
23,154,0,8.0139,5.5988
23,156,0,3.69,9.4887
23,159,0,7.6899,5.1183
23,162,0,2.4037,1.5522
23,163,0,4.3224,3.4132
23,178,0,9.5889,1.6939
23,186,0,4.0263,9.7168
23,196,0,1.7272,9.6112
24,54,0,4.9377,6.5946
24,91,0,3.465,5.6946
24,117,0,4.7739,8.9014
24,122,0,10.9143,1.3033
24,129,0,10.4371,10.5569
24,143,0,3.9916,9.0427
24,146,0,3.4448,3.8679
24,183,0,1.5021,9.0275
25,6,0,2.5306,1.693
25,13,0,3.3328,10.4901
25,16,28,1.084,1.8199
25,18,0,7.5406,1.8085
25,19,0,7.9258,1.5847
25,37,0,10.7211,6.1508
25,76,0,6.6301,8.8449
25,77,0,7.253,9.4134
25,83,0,5.2644,2.0083
25,84,0,6.336,1.5183
25,124,0,10.6442,10.8204
25,128,0,6.4742,2.6694
25,130,0,8.6855,9.1234
25,131,0,9.5779,4.7364
25,132,0,3.786,4.0397
25,161,0,2.4877,5.8131
25,164,0,4.6806,4.1568
25,184,0,2.4051,8.0823
26,0,0,4.3099,2.6462
26,4,0,9.8706,6.9922
26,23,0,9.5797,10.7456
26,34,0,7.8482,1.5224
26,49,0,10.3061,6.3525
26,51,0,9.9413,5.6004
26,59,0,6.8455,10.1557
26,60,0,3.6117,10.8255
26,65,0,7.8627,4.6086
26,72,0,6.1884,3.5576
26,73,0,8.9128,10.7483
26,79,2,1.8811,2.3599
26,95,0,2.4395,10.1492
26,99,0,8.9047,9.7346
26,110,0,3.0222,5.4452
26,118,0,3.0142,2.6632
26,127,0,9.0172,3.5434
26,147,0,8.547,8.9739
26,148,0,7.7537,5.0429
26,151,0,2.2101,3.0183
26,154,0,8.4224,7.51
26,158,0,5.6479,9.081
26,159,16,4.8393,6.5728
26,162,0,8.8236,6.8001
26,163,0,5.5073,10.1865
26,165,0,4.5148,10.8804
26,178,0,8.058,8.3486
26,186,13,1.935,6.8098
26,196,0,4.8613,4.5071
27,1,0,10.4819,6.0349
27,3,0,2.491,10.5613
27,5,0,3.9642,10.0551
27,7,0,4.1146,8.5215
27,17,0,1.1601,7.1013
27,42,0,7.3552,10.5728
27,52,0,2.3882,9.0594
27,56,0,4.6784,9.8954
27,67,0,6.8857,6.1765
27,73,0,2.9014,8.5478
27,80,0,5.4736,5.9993
27,94,0,2.7264,5.5036
27,97,0,10.5982,8.8445
27,116,0,9.9105,7.343
27,119,0,8.7587,10.0279
27,120,0,8.2612,8.1716
27,127,0,10.9275,6.1793
27,152,0,1.3153,7.2034
27,157,0,10.8564,10.2426
27,166,0,4.2623,5.3282
27,168,0,10.9573,8.1388
27,170,0,3.2594,8.1373
27,176,0,4.2097,2.6112
27,177,0,9.9631,6.7795
27,179,0,3.2371,10.1909
27,182,0,2.2507,8.9758
27,186,0,7.3348,6.5903
27,188,12,1.8313,5.7265
28,9,0,10.2679,2.8806
28,21,0,2.0839,5.336
28,40,0,7.6557,8.2725
28,46,0,9.4832,1.1641
28,48,0,6.3557,4.7465
28,57,0,4.1946,9.1255
28,60,0,8.3508,6.8421
28,61,0,9.869,4.3373
28,66,0,9.5016,6.7741
28,70,0,7.5508,6.7722
28,88,0,7.0833,9.9497
28,90,0,3.5498,4.64
28,99,0,5.6798,8.225
28,141,0,7.9402,7.5925
28,150,0,8.0614,7.0503
28,165,0,1.7863,4.1658
28,192,0,9.2408,9.0966
28,194,0,8.9523,9.1772
28,195,0,9.7418,5.8697
29,10,0,10.3692,1.5775
29,14,0,1.0081,10.6395
29,30,0,8.0676,7.062
29,35,0,8.0858,5.2918
29,44,0,4.6135,7.4406
29,58,0,8.8493,4.272
29,68,0,3.1712,5.8501
29,75,0,8.8316,5.3768
29,79,0,1.6066,10.0436
29,87,0,3.5034,4.4569
29,100,0,4.8862,2.7482
29,101,0,10.5266,8.1962
29,102,0,6.6669,7.7601
29,104,0,4.3253,8.7841
29,105,0,2.2624,9.9344
29,123,0,1.4511,10.593
29,126,0,5.0676,9.1606
29,149,0,4.7248,9.4191
29,167,0,1.0632,9.0696
29,171,0,7.0257,2.958
29,180,0,6.1785,9.8208
29,197,0,10.8713,7.6244
30,10,0,8.9755,6.6397
30,12,0,9.7469,1.71
30,29,0,9.1587,2.5421
30,35,0,3.3128,3.4744
30,69,0,9.7166,9.4497
30,100,0,8.637,9.9493
30,102,0,2.7096,1.6208
30,123,0,8.5457,3.3925
30,126,0,9.2646,9.324
30,149,0,7.7743,5.2574
30,167,0,2.4813,3.6681
30,172,0,3.011,2.8779
30,180,0,1.6353,1.0697
30,191,0,7.2805,1.1493
30,197,0,5.5007,7.7929
31,0,0,3.8358,10.8084
31,13,0,3.623,10.97
31,34,0,8.4845,2.9173
31,36,0,5.9066,8.9517
31,40,0,7.827,5.7997
31,46,0,1.3695,3.081
31,48,0,2.0383,5.9172
31,59,0,7.1301,7.7966
31,61,0,7.3905,10.5018
31,65,0,4.6041,5.6993
31,66,0,6.3761,10.4315
31,76,0,7.1576,3.2383
31,84,0,1.2926,5.4545
31,85,12,1.0856,3.1031
31,95,0,5.3302,8.2259
31,99,0,2.0667,5.3083
31,110,0,7.6188,9.6038
31,114,15,2.6321,1.9435
31,131,0,4.0051,5.7943
31,132,0,4.6159,6.8549
31,141,0,9.1332,10.7012
31,145,0,4.4365,5.1593
31,161,0,10.1288,9.3472
31,162,0,4.3521,6.0052
31,173,0,10.2813,7.3488
31,195,0,3.5664,2.8236
32,2,0,2.9846,9.9813
32,20,0,6.0875,1.8695
32,22,0,4.1714,2.7607
32,82,0,4.0328,6.6546
32,96,0,5.504,9.4224
32,107,0,9.8607,8.109
32,111,0,5.8609,5.292
32,121,0,5.6816,9.6345
32,133,0,10.6303,8.1799
32,135,0,7.1372,2.9308
32,189,0,6.7462,4.4985
32,193,0,3.8661,8.8509
33,9,0,7.5847,9.2945
33,21,0,4.8987,9.4452
33,49,0,6.3379,6.3422
33,50,0,1.8448,5.9261
33,53,0,7.9457,7.0882
33,58,0,9.1304,9.1694
33,60,0,8.0353,6.8748
33,72,0,10.0839,7.9304
33,75,0,3.0348,3.4005
33,87,0,3.4374,7.5946
33,88,0,3.8018,2.0543
33,98,0,3.0818,2.3596
33,106,0,1.67,3.8214
33,118,0,8.1956,3.1369
33,138,0,4.2919,7.5119
33,142,0,6.6249,7.7981
33,150,0,1.4001,2.5245
33,158,0,3.0466,3.5748
33,165,0,1.9005,7.0974
33,194,0,1.5824,2.1042
34,0,0,3.5659,10.8611
34,4,0,1.8466,1.4698
34,5,0,2.1285,2.0828
34,23,0,7.8329,9.7361
34,26,0,9.4587,10.863
34,31,0,7.3359,1.2576
34,40,0,6.6336,6.6013
34,59,0,8.8355,8.6196
34,61,0,8.6918,7.5258
34,65,0,8.3104,9.4446
34,85,0,5.7049,3.6133
34,95,0,4.8162,10.5783
34,99,0,5.8551,8.9792
34,110,13,1.2787,5.3371
34,127,0,7.7943,7.2699
34,132,0,6.4937,4.2468
34,145,0,6.685,4.3538
34,147,11,1.5669,7.2669
34,151,0,10.204,4.1091
34,154,0,1.8572,2.5125
34,162,0,2.8715,7.6375
34,163,0,8.6493,9.8446
34,173,0,6.914,4.882
34,186,18,3.2414,4.7222
35,10,0,9.3407,3.8639
35,12,0,3.9066,4.1963
35,14,0,2.259,9.1808
35,29,0,7.4276,10.2027
35,30,0,4.0607,8.6068
35,44,0,10.4073,3.0791
35,50,0,1.2564,9.761
35,75,0,8.7167,9.3778
35,87,0,2.0933,1.8871
35,100,0,5.1713,1.0102
35,102,0,8.272,5.8063
35,104,0,2.5904,4.278
35,126,0,1.1758,3.5268
35,149,0,1.9481,7.7357
35,167,0,6.5869,7.8853
35,171,0,1.8161,2.8491
35,172,0,6.5783,2.7954
35,180,0,10.6065,8.4235
35,187,0,8.4018,5.1654
35,197,0,7.9219,2.1542
35,198,0,2.4645,3.4135
36,6,0,7.3596,3.2222
36,13,0,10.0789,9.3522
36,15,0,10.593,6.1254
36,31,0,6.1191,8.767
36,65,0,4.5343,4.7701
36,76,0,9.4608,6.051
36,83,0,6.1725,4.3379
36,84,0,8.6431,10.4312
36,85,0,6.906,3.8025
36,103,0,8.8765,4.4826
36,114,0,4.0191,9.1179
36,124,0,9.1737,1.1752
36,131,0,3.5788,2.3646
36,132,0,10.175,9.6887
36,145,0,8.7004,7.0952
36,161,0,10.1001,4.6477
36,173,0,9.9546,1.7755
36,174,0,4.0554,5.1793
37,16,0,8.4121,5.6463
37,18,0,5.667,3.6036
37,19,0,9.2859,4.8608
37,25,0,5.0503,2.0921
37,77,0,3.3007,6.3468
37,128,0,10.2836,10.2771
37,130,0,2.4455,7.4905
37,184,0,10.3299,9.2062
38,2,0,6.7101,2.3142
38,8,14,1.2748,5.2474
38,22,0,2.6294,6.0489
38,39,0,4.2678,2.9096
38,41,0,9.603,7.02
38,45,0,4.6683,7.4564
38,47,0,8.6618,2.6181
38,62,0,3.0207,3.2063
38,63,0,5.4207,6.6049
38,64,0,9.0878,10.4808
38,71,0,6.4042,8.6737
38,74,0,2.4462,9.5547
38,82,0,6.9452,9.9073
38,86,0,8.1893,3.493
38,92,0,6.4038,3.5103
38,96,0,6.5994,1.4827
38,108,0,9.6926,7.4321
38,121,0,4.8286,4.1573
38,144,0,9.632,8.1813
38,148,0,10.0067,8.6427
38,153,0,1.3943,6.24
38,156,0,10.2006,4.5486
38,160,0,6.7011,6.1249
38,169,0,9.1451,8.2591
38,175,0,1.0999,9.0848
38,189,0,5.1748,3.4642
39,2,0,7.5792,1.4255
39,14,0,4.2977,1.0649
39,22,12,3.3899,1.9026
39,38,14,1.6744,4.4899
39,41,0,9.1939,3.4286
39,44,0,10.1927,6.6612
39,45,0,9.7198,8.939
39,47,0,7.6576,4.5548
39,68,0,8.4269,2.2864
39,82,0,10.9948,10.7338
39,86,2,2.3768,3.5573
39,92,4,1.2877,4.1621
39,96,0,3.4446,10.6102
39,101,0,4.0213,2.4685
39,104,0,2.8572,7.5995
39,105,0,5.9845,8.2146
39,107,0,1.0764,2.3036
39,121,0,6.4572,4.9426
39,133,0,3.7738,4.3212
39,144,0,8.0819,5.7793
39,189,0,9.6715,8.9738
39,193,0,2.9561,2.3159
40,0,17,5.7392,7.7609
40,9,0,2.9818,7.5421
40,13,0,7.863,9.6942
40,28,0,5.8464,4.8425
40,31,27,4.5051,3.8658
40,34,11,3.6142,4.6744
40,46,7,2.6171,7.611
40,48,0,10.8716,6.4564
40,59,0,7.9742,8.9501
40,60,0,10.3906,4.9238
40,61,0,8.7843,8.7681
40,65,0,4.1159,5.4203
40,66,13,2.0404,2.4426
40,84,17,1.3731,4.8886
40,85,0,7.9411,8.5762
40,95,0,6.703,8.8039
40,99,0,8.2603,4.5928
40,110,0,7.8192,7.3803
40,114,4,4.7613,4.0573
40,132,5,4.7227,2.9438
40,141,0,5.9302,7.8599
40,145,15,1.5357,4.5289
40,161,9,1.184,8.2829
40,162,19,2.7459,9.6902
40,195,0,9.6429,10.8846
41,2,0,3.2111,1.3238
41,22,0,8.1779,2.8665
41,23,0,6.1763,4.8952
41,38,0,9.4092,2.0742
41,39,0,6.936,10.0077
41,45,0,10.8384,7.6357
41,47,0,5.7166,4.9526
41,51,0,10.1979,10.0021
41,55,0,3.7046,5.6792
41,62,13,1.0841,9.3343
41,68,0,9.7831,9.2068
41,79,0,5.4926,6.1371
41,86,0,7.0763,9.7741
41,92,0,7.5673,4.3505
41,96,0,1.5401,10.2381
41,101,0,2.92,7.8129
41,105,0,6.3806,8.0704
41,118,0,9.9924,1.2428
41,144,0,9.5886,3.2858
41,147,0,9.2727,3.6801
41,148,0,8.9511,5.8564
41,151,0,5.0055,7.5678
41,154,0,10.5821,6.0502
41,156,0,2.8363,2.0306
41,159,0,4.3447,3.4688
41,163,0,6.444,3.8883
41,171,0,6.2515,8.4178
41,175,0,3.9161,4.6774
41,178,0,3.9604,9.2527
41,189,0,4.2322,10.5312
41,196,0,8.7616,7.5052
42,1,0,6.1333,5.8349
42,3,0,6.9165,4.1695
42,7,0,8.107,2.6637
42,17,0,5.68,10.171
42,27,0,2.7676,10.9005
42,52,0,5.1894,4.9725
42,55,0,7.3287,1.214
42,62,0,1.6797,5.7242
42,64,0,10.107,10.4327
42,67,0,8.8799,7.2001
42,71,0,1.4055,5.6658
42,73,0,1.0811,7.0062
42,92,0,7.2606,4.9341
42,94,0,9.4195,1.4063
42,108,0,7.0341,4.864
42,119,20,4.2799,3.1986
42,125,0,4.0565,6.5302
42,134,0,4.1609,10.5385
42,139,0,1.519,1.9887
42,152,0,7.7355,6.6425
42,156,0,6.8545,9.8262
42,157,0,2.7721,8.7004
42,159,0,6.677,1.3111
42,160,0,3.7043,6.6413
42,170,0,3.4631,1.0224
42,175,0,8.0683,6.9455
42,182,0,3.9053,8.0341
42,185,0,2.4351,7.0656
43,57,0,7.323,7.5722
43,70,0,3.1006,3.5094
43,90,0,1.9402,5.6477
43,113,0,2.7487,4.8853
43,122,0,4.2039,5.2488
43,129,0,8.0042,1.087
